Biodiesel;C8:0;C10:0;C12:0;C14:0;C16:0;C16:1;C17:0;C17:1;C18:0;C18:1;C18:2;C18:3;C20:0;C20:1;C20:2;C22:0;C22:1;C24:0;C24:1;Total;? (mm2/s)
Canola;;;;  0.1;  6.9;;;;  2.9;47.3;32.0;  9.2;0.5;  0.8;;;;0.3;;100.0;4.31
Palm;;;;  0.9;44.5;;;;  4.9;39.6;  9.3;  0.2;0.4;  0.1;;;;0.1;;100.0;4.43
Coconut;8.59;  6.31;49.94;17.91;  8.04;;;;  2.19;  5.42;  1.33;;;;;;;;;  99.73;2.61
Vistive;;;;;10.17;;;;  3.89;23.69;58.84;  2.83;0.23;;;0.21;;;;  99.86;4.12
Canola;;;;;  4.42;;;;  1.92;63.48;20.70;  8.54;0.50;;;0.23;;;;  99.79;4.47
Coconut;8.86;  6.17;48.83;19.97;  7.84;;;;  3.06;  4.44;  0.76;;;;;;;;;  99.93;2.83
Soybean;;;;;11.20;;;;  4.53;22.40;52.30;  8.28;0.34;;;;;;;  99.05;3.93
Chlorella protothecoides;;;;;  4.7;;;;  2.0;65.2;18.5;  6.9;1.9;;;;;0.6;;  99.8;4.43
Soapnut;;;;;  4.67;0.37;;;  1.45;52.64;  4.73;  1.94;7.02;23.85;;1.45;1.09;0.47;;  99.68;5.04
Beef tallow;;;;  0.5;15.9;0.9;;;  8.5;31.7;36.5;  4.6;0.3;  0.8;;;0.3;;;100.0;4.36
Soybean;;;;;10.1;;;;  4.5;24.3;53.1;  7.2;0.4;;;;0.4;;;100.0;4.07
Palm;;;;;40.3;;;;  4.1;43.4;12.2;;;;;;;;;100.0;4.617
Palm olein;;;;  1.18;41.60;;;;  4.47;42.90;  9.87;;;;;;;;;100.02;4.525
Rapeseed;;;;  0.07;  5.41;0.25;;0.09;  1.89;62.14;21.79;  6.14;0.57;  1.35;;0.30;;;;100.00;4.440
Rapeseed;;;;;  4.51;;;;  1.47;63.12;19.85;  9.03;;  0.55;;;1.47;;;100.00;4.48
TG C18:1;;;  1.96;  1.75;  4.07;5.24;;;  1.13;77.62;  8.23;;;;;;;;;100.00;4.52
TG C18:2;;;;;  1.83;;;;  1.02;  6.41;83.09;  7.65;;;;;;;;100.00;3.68
Soapnut ;;;;;  3.8;;;;  1.1;55.2;  8.3;  2.4;5.3;23.9;;;;;;100.0;4.88
Soybean;;;;  0.08;10.35;0.12;;;  4.53;21.39;54.2;  7.22;0.42;  0.21;;0.38;;0.16;0.08;  99.14;4.03
Cottonseed ;;;;  0.96;25.32;0.59;;;  2.79;15.91;51.94;  1.05;0.18;  0.10;;0.10;;0.03;0.44;  99.41;4.04
Palm;;;;  1.01;44.39;0.22;;;  4.28;38.48;  9.99;  0.29;0.39;  0.16;;0.08;;0.09;0.02;  99.4;4.53
Jatropha;;;;  0.08;13.74;0.91;;;  6.84;44.26;33.49;  0.20;0.21;  0.07;;;;0.05;;  99.85;4.40
Soybean;;;;  0.2;10.68;;;;  4.05;21.35;55.47;  8.03;0.23;;;;;;;100.01;4.02
Jatropha;;;;  0.1;14.2;;;;  7.1;43.2;34.9;  0.2;0.2;  0.1;;;;0.1;;100.1;4.33
Soybean;;;;  0.1;10.8;;;;  4.3;23.7;53.1;  7.2;0.4;  0.2;;;;0.4;;100.2;4.13
Soybean;;;;;10.4;;;;  4.1;21.8;56;  7.8;;;;;;;;100.1;4.084
Saf?ower;;;;;11.07;;;;  4.37;12.76;69.65;  0.49;0.78;;;0.59;;0.29;;100.00;4.23
Soybean ;;;;;16.29;;;;  6.66;22.7;44.13;  8.97;0.62;;;0.63;;;;100.00;4.42
Rapeseed;;;;;  8.23;0.32;;;  2.92;53.84;23.38;  9.82;0.99;;;0.52;;;;100.02;4.55
Corn;;;;;11.4;;;;  1.3;27.1;60.2;;;;;;;;;100.0;4.363
Sun?ower;;;;;  4.9;;;;  2.3;32.6;59.4;;;;;0.5;;;;  99.7;4.381
Palm;;;  0.5;  1.6;49.8;;;;  2.9;38.6;  6.6;;;;;;;;;100.0;4.698
Soybean;;;;;14.10;0.70;;;  5.15;25.29;48.70;  6.08;;;;;;;;100.02;4.317
Unused sun?ower ;;;;  0.13;  7.47;0.28;0.068;0.05;  4.07;30.4;54.35;  1.74;0.37;  0.39;;0.69;;;;100.008;43.991
